Name,Start,Finish,code,duration,time_start,time_finish
around_feeder            ,00:00:00.020 , 00:00:00.300,12,0.28,0.0,0.28
walk                     ,00:00:00.290 , 00:00:01.110,18,0.82,0.27,1.09
rearing_sup              ,00:00:01.120 , 00:00:02.900,16,1.78,1.1,2.88
feeder                   ,00:00:02.890 , 00:00:05.000,9,2.11,2.87,4.98
walk                     ,00:00:04.990 , 00:00:06.060,18,1.07,4.97,6.04
look_down                ,00:00:06.060 , 00:00:06.520,20,0.46,6.04,6.5
walk                     ,00:00:06.520 , 00:00:08.950,18,2.43,6.5,8.93
approach_right           ,00:00:08.960 , 00:00:09.380,2,0.42,8.94,9.36
push_right                ,00:00:09.400 , 00:00:10.450,1,1.05,9.38,10.43
look_around              ,00:00:10.500 , 00:00:11.340,19,0.84,10.48,11.32
approach_feeder          ,00:00:11.340 , 00:00:11.700,11,0.36,11.32,11.68
around_feeder            ,00:00:11.700 , 00:00:12.240,12,0.54,11.68,12.22
walk                     ,00:00:12.230 , 00:00:13.320,18,1.09,12.21,13.3
around_door              ,00:00:13.330 , 00:00:13.400,14,0.07,13.31,13.38
look_down                ,00:00:13.400 , 00:00:16.070,20,2.67,13.38,16.05
look_around              ,00:00:16.070 , 00:00:18.230,19,2.16,16.05,18.21
approach_left            ,00:00:18.240 , 00:00:18.600,7,0.36,18.22,18.58
around_left              ,00:00:18.590 , 00:00:19.450,3,0.86,18.57,19.43
around_door              ,00:00:19.460 , 00:00:20.610,14,1.15,19.44,20.59
approach_feeder          ,00:00:20.600 , 00:00:21.200,11,0.6,20.58,21.18
feeder                   ,00:00:21.210 , 00:00:24.220,9,3.01,21.19,24.2
walk                     ,00:00:24.220 , 00:00:24.910,18,0.69,24.2,24.89
approach_right           ,00:00:24.920 , 00:00:26.010,2,1.09,24.9,25.99
push_right               ,00:00:26.000 , 00:00:26.150,1,0.15,25.98,26.13
rearing_sup              ,00:00:26.170 , 00:00:26.770,16,0.6,26.15,26.75
around_feeder            ,00:00:26.770 , 00:00:27.350,12,0.58,26.75,27.33
feeder                   ,00:00:27.360 , 00:00:29.800,9,2.44,27.34,29.78
around_feeder            ,00:00:29.800 , 00:00:30.800,12,1.0,29.78,30.78
rearing_sup              ,00:00:30.810 , 00:00:33.080,16,2.27,30.79,33.06
walk                     ,00:00:33.080 , 00:00:34.310,18,1.23,33.06,34.29
approach_right           ,00:00:34.310 , 00:00:34.910,2,0.6,34.29,34.89
push_right               ,00:00:34.910 , 00:00:35.050,1,0.14,34.89,35.03
rearing_sup              ,00:00:35.060 , 00:00:35.680,16,0.62,35.04,35.66
approach_feeder          ,00:00:35.690 , 00:00:36.210,11,0.52,35.67,36.19
feeder                   ,00:00:36.210 , 00:00:44.240,9,8.03,36.19,44.22
rearing_sup              ,00:00:44.270 , 00:00:46.730,16,2.46,44.25,46.71
approach_right           ,00:00:46.730 , 00:00:47.760,2,1.03,46.71,47.74
push_right               ,00:00:47.770 , 00:00:48.030,1,0.26,47.75,48.01
rearing_sup              ,00:00:48.040 , 00:00:48.860,16,0.82,48.02,48.84
approach_feeder          ,00:00:48.860 , 00:00:49.360,11,0.5,48.84,49.34
feeder                   ,00:00:49.340 , 00:00:52.840,9,3.5,49.32,52.82
rearing_sup              ,00:00:52.840 , 00:00:54.500,16,1.66,52.82,54.48
look_down                ,00:00:54.480 , 00:00:55.330,20,0.85,54.46,55.31
approach_right           ,00:00:55.340 , 00:00:56.470,2,1.13,55.32,56.45
push_right               ,00:00:56.460 , 00:00:56.590,1,0.13,56.44,56.57
rearing_sup              ,00:00:56.590 , 00:00:57.230,16,0.64,56.57,57.21
approach_feeder          ,00:00:57.220 , 00:00:57.680,11,0.46,57.2,57.66
feeder                   ,00:00:57.680 , 00:01:01.640,9,3.96,57.66,61.62
walk                     ,00:01:01.630 , 00:01:02.510,18,0.88,61.61,62.49
around_door              ,00:01:02.500 , 00:01:03.200,14,0.7,62.48,63.18
rearing_sup              ,00:01:03.190 , 00:01:04.310,16,1.12,63.17,64.29
approach_right           ,00:01:04.320 , 00:01:05.240,2,0.92,64.3,65.22
push_right               ,00:01:05.260 , 00:01:06.070,1,0.81,65.24,66.05
around_emptywall         ,00:01:06.070 , 00:01:06.400,15,0.33,66.05,66.38
rearing_sup              ,00:01:06.390 , 00:01:07.620,16,1.23,66.37,67.6
walk                     ,00:01:07.610 , 00:01:07.700,18,0.09,67.59,67.68
