Name,Start,Finish,code,duration,time_start,time_finish
look_around              ,00:00:11.580 , 00:00:18.240,19,6.66,0.0,6.66
approach_left            ,00:00:18.240 , 00:00:20.060,7,1.82,6.66,8.48
approach_right           ,00:00:20.050 , 00:00:21.210,2,1.16,8.47,9.63
around_emptywall         ,00:00:21.210 , 00:00:23.460,15,2.25,9.63,11.88
around_feeder            ,00:00:23.470 , 00:00:24.520,12,1.05,11.89,12.94
walk                     ,00:00:24.520 , 00:00:27.610,18,3.09,12.94,16.03
around_door              ,00:00:27.580 , 00:00:28.200,14,0.62,16.0,16.62
look_around              ,00:00:28.200 , 00:00:32.750,19,4.55,16.62,21.17
around_emptywall         ,00:00:32.760 , 00:00:34.080,15,1.32,21.18,22.5
walk                     ,00:00:34.090 , 00:00:35.840,18,1.75,22.51,24.26
around_door              ,00:00:35.850 , 00:00:37.850,14,2.0,24.27,26.27
walk                     ,00:00:37.860 , 00:00:38.550,18,0.69,26.28,26.97
around_feeder            ,00:00:38.550 , 00:00:42.290,12,3.74,26.97,30.71
around_door              ,00:00:42.280 , 00:00:44.150,14,1.87,30.7,32.57
around_feeder            ,00:00:44.140 , 00:00:46.470,12,2.33,32.56,34.89
grooming                 ,00:00:46.460 , 00:00:48.470,5,2.01,34.88,36.89
around_feeder            ,00:00:48.460 , 00:00:50.120,12,1.66,36.88,38.54
look_around              ,00:00:50.110 , 00:00:51.160,19,1.05,38.53,39.58
rearing_sup              ,00:00:51.180 , 00:00:53.120,16,1.94,39.6,41.54
walk                     ,00:00:53.130 , 00:00:57.440,18,4.31,41.55,45.86
around_right             ,00:00:57.440 , 00:00:58.210,4,0.77,45.86,46.63
look_down                ,00:00:58.200 , 00:01:00.980,20,2.78,46.62,49.4
around_right             ,00:01:00.970 , 00:01:01.710,4,0.74,49.39,50.13
around_emptywall         ,00:01:01.720 , 00:01:03.060,15,1.34,50.14,51.48
rearing_sup              ,00:01:03.050 , 00:01:04.020,16,0.97,51.47,52.44
approach_wallwithlever   ,00:01:04.030 , 00:01:04.670,10,0.64,52.45,53.09
around_wallwithlever     ,00:01:04.690 , 00:01:06.690,13,2.0,53.11,55.11
walk                     ,00:01:06.710 , 00:01:09.150,18,2.44,55.13,57.57
around_feeder            ,00:01:09.150 , 00:01:12.010,12,2.86,57.57,60.43
look_around              ,00:01:12.000 , 00:01:14.670,19,2.67,60.42,63.09
rearing_nosup            ,00:01:14.650 , 00:01:15.690,17,1.04,63.07,64.11
approach_left            ,00:01:15.690 , 00:01:16.210,7,0.52,64.11,64.63
look_down                ,00:01:16.220 , 00:01:16.870,20,0.65,64.64,65.29
