Name,Start,Finish,code,duration,time_start,time_finish
walk                   ,00:00:47.470 , 00:00:48.640,18,1.17,0.0,1.17
approach_right         ,00:00:48.640 , 00:00:54.470,2,5.83,1.17,7.0
around_left            ,00:00:54.440 , 00:00:56.040,3,1.6,6.97,8.57
around_door            ,00:00:57.390 , 00:01:05.700,14,8.31,9.92,18.23
rearing_nosup          ,00:01:05.680 , 00:01:09.890,17,4.21,18.21,22.42
rearing_sup            ,00:01:09.900 , 00:01:13.630,16,3.73,22.43,26.16
around_left            ,00:01:13.610 , 00:01:15.410,3,1.8,26.14,27.94
rearing_sup            ,00:01:15.420 , 00:01:20.190,16,4.77,27.95,32.72
around_right           ,00:01:20.170 , 00:01:21.470,4,1.3,32.7,34.0
look_around            ,00:01:21.430 , 00:01:24.190,19,2.76,33.96,36.72
approach_feeder        ,00:01:24.140 , 00:01:27.350,11,3.21,36.67,39.88
around_feeder          ,00:01:27.350 , 00:01:31.880,12,4.53,39.88,44.41
rearing_nosup          ,00:01:31.860 , 00:01:35.460,17,3.6,44.39,47.99
look_around            ,00:01:35.450 , 00:01:38.300,19,2.85,47.98,50.83
around_feeder          ,00:01:38.260 , 00:01:42.180,12,3.92,50.79,54.71
rearing_nosup          ,00:01:42.160 , 00:01:43.320,17,1.16,54.69,55.85
look_around            ,00:01:43.310 , 00:01:44.740,19,1.43,55.84,57.27
rearing_sup            ,00:01:44.730 , 00:01:47.790,16,3.06,57.26,60.32
look_around            ,00:01:47.800 , 00:01:50.710,19,2.91,60.33,63.24
walk                   ,00:01:50.720 , 00:01:55.640,18,4.92,63.25,68.17
around_left            ,00:01:55.650 , 00:02:02.110,3,6.46,68.18,74.64
around_door            ,00:02:02.090 , 00:02:05.780,14,3.69,74.62,78.31
rearing_sup            ,00:02:05.750 , 00:02:11.260,16,5.51,78.28,83.79
around_door            ,00:02:11.240 , 00:02:16.010,14,4.77,83.77,88.54
walk                   ,00:02:16.000 , 00:02:26.460,18,10.46,88.53,98.99
around_right           ,00:02:34.530 , 00:02:36.870,4,2.34,107.06,109.4
rearing_nosup          ,00:02:40.210 , 00:02:44.560,17,4.35,112.74,117.09
rearing_sup            ,00:02:44.550 , 00:02:46.650,16,2.1,117.08,119.18
around_right           ,00:02:46.640 , 00:02:47.860,4,1.22,119.17,120.39
around_right           ,00:02:50.010 , 00:02:51.230,4,1.22,122.54,123.76
rearing_sup            ,00:02:51.220 , 00:02:56.180,16,4.96,123.75,128.71
look_around            ,00:02:56.220 , 00:03:03.080,19,6.86,128.75,135.61
look_around            ,00:03:05.140 , 00:03:07.000,19,1.86,137.67,139.53
approach_feeder        ,00:03:07.000 , 00:03:08.510,11,1.51,139.53,141.04
around_feeder          ,00:03:08.500 , 00:03:16.380,12,7.88,141.03,148.91
rearing_sup            ,00:03:16.340 , 00:03:22.590,16,6.25,148.87,155.12
rearing_nosup          ,00:03:22.590 , 00:03:24.750,17,2.16,155.12,157.28
around_feeder          ,00:03:24.770 , 00:03:26.190,12,1.42,157.3,158.72
around_left            ,00:03:29.390 , 00:03:30.960,3,1.57,161.92,163.49
around_door            ,00:03:30.940 , 00:03:34.940,14,4.0,163.47,167.47
around_feeder          ,00:03:34.920 , 00:03:35.690,12,0.77,167.45,168.22
walk                   ,00:03:35.690 , 00:03:38.710,18,3.02,168.22,171.24
around_right           ,00:03:40.380 , 00:03:41.690,4,1.31,172.91,174.22
rearing_sup            ,00:03:41.710 , 00:03:45.140,16,3.43,174.24,177.67
look_around            ,00:03:45.130 , 00:03:51.750,19,6.62,177.66,184.28
walk                   ,00:03:51.730 , 00:03:54.900,18,3.17,184.26,187.43
around_left            ,00:03:55.010 , 00:03:56.410,3,1.4,187.54,188.94
look_around            ,00:04:01.110 , 00:04:03.650,19,2.54,193.64,196.18
rearing_nosup          ,00:04:03.630 , 00:04:08.810,17,5.18,196.16,201.34
