Name,Start,Finish,code,duration,time_start,time_finish
walk                     ,00:00:05.620 , 00:00:07.775,18,2.155,0.0,2.155
around_feeder            ,00:00:07.724 , 00:00:11.017,12,3.293,2.104,5.397
approach_left            ,00:00:11.034 , 00:00:13.344,7,2.31,5.414,7.724
around_left              ,00:00:13.362 , 00:00:13.775,3,0.413,7.742,8.155
approach_right           ,00:00:13.775 , 00:00:14.396,2,0.621,8.155,8.776
around_right             ,00:00:14.413 , 00:00:15.155,4,0.742,8.793,9.535
push_right               ,00:00:15.180 , 00:00:16.270,1,1.09,9.56,10.65
approach_feeder          ,00:00:16.275 , 00:00:17.172,11,0.897,10.655,11.552
feeder                   ,00:00:17.155 , 00:00:18.672,9,1.517,11.535,13.052
around_feeder            ,00:00:18.655 , 00:00:22.120,12,3.465,13.035,16.5
look_around              ,00:00:22.068 , 00:00:25.775,19,3.707,16.448,20.155
approach_right           ,00:00:25.724 , 00:00:27.310,2,1.586,20.104,21.69
around_right             ,00:00:27.293 , 00:00:27.913,4,0.62,21.673,22.293
look_around              ,00:00:27.896 , 00:00:31.275,19,3.379,22.276,25.655
walk                     ,00:00:31.189 , 00:00:32.448,18,1.259,25.569,26.828
around_door              ,00:00:32.465 , 00:00:36.793,14,4.328,26.845,31.173
around_left              ,00:00:36.775 , 00:00:40.172,3,3.397,31.155,34.552
rearing_sup              ,00:00:40.172 , 00:00:45.948,16,5.776,34.552,40.328
walk                     ,00:00:45.896 , 00:00:47.448,18,1.552,40.276,41.828
approach_feeder          ,00:00:47.465 , 00:00:48.482,11,1.017,41.845,42.862
around_feeder            ,00:00:48.431 , 00:00:57.931,12,9.5,42.811,52.311
rearing_sup              ,00:00:57.896 , 00:01:18.034,16,20.138,52.276,72.414
around_feeder            ,00:01:18.000 , 00:01:28.310,12,10.31,72.38,82.69
approach_left            ,00:01:28.293 , 00:01:31.913,7,3.62,82.673,86.293
around_left              ,00:01:31.896 , 00:01:32.517,3,0.621,86.276,86.897
approach_right           ,00:01:32.482 , 00:01:33.224,2,0.742,86.862,87.604
around_right             ,00:01:33.224 , 00:01:33.448,4,0.224,87.604,87.828
push_right               ,00:01:33.450 , 00:01:36.990,1,3.54,87.83,91.37
approach_feeder          ,00:01:36.620 , 00:01:37.172,11,0.552,91.0,91.552
feeder                   ,00:01:37.150 , 00:01:41.580,9,4.43,91.53,95.96
around_feeder            ,00:01:41.570 , 00:01:43.130,12,1.56,95.95,97.51
rearing_nosup            ,00:01:43.110 , 00:01:45.050,17,1.94,97.49,99.43
