Start,d_name,Time,Name,code
00:00:31.993 ,поиск еды в кормушке,2.297,around_feeder,13
00:00:34.290 ,стойка с опорой,4.177,rearing_sup,17
00:00:36.170 ,поворот головы в сторону педалей,5.257,look_around,20
00:00:37.250 ,стойка с опорой,6.697,rearing_sup,17
00:00:38.690 ,поворот головы в сторону педалей,7.077,look_around,20
00:00:39.070 ,взаимодействие с педалью,8.157,around_wallwithlever,14
00:00:40.150 ,взаимодействие с педалью,9.307,around_wallwithlever,14
00:00:41.300 ,нос вверх,12.257,look_around,20
00:00:44.250 ,нос вверх,15.007,look_around,20
00:00:47.000 ,стойка с опорой,17.857,rearing_sup,17
00:00:49.850 ,стойка с опорой,26.082,rearing_sup,17
00:00:58.075 ,стойка с опорой,29.037,rearing_sup,17
00:01:01.030 ,поиск еды в кормушке,31.005,around_feeder,13
00:01:02.998 ,стойка с опорой,34.587,rearing_sup,17
00:01:06.580 ,нос вверх,35.687,look_around,20
00:01:07.680 ,передвижение по клетке,39.207,walk,19
00:01:11.200 ,нос в кормушку,39.777,feeder,9
00:01:11.770 ,передвижение по клетке,48.027,walk,19
00:01:20.020 ,стойка с опорой,51.72,rearing_sup,17
00:01:23.713 ,стойка с опорой,53.227,rearing_sup,17
00:01:25.220 ,нос вверх,54.097,look_around,20
00:01:26.090 ,передвижение по клетке,56.167,walk,19
00:01:28.160 ,нос вверх,57.227,look_around,20
00:01:29.220 ,поворот головы в сторону педалей,58.747,look_around,20
00:01:30.740 ,подход к кормушке,60.577,approach_feeder,12
00:01:32.570 ,поиск еды в кормушке,62.507,around_feeder,13
00:01:34.500 ,нос вверх,63.147,look_around,20
00:01:35.140 ,поиск еды вне кормушки,68.757,look_down,21
00:01:40.750 ,нос вверх,69.307,look_around,20
00:01:41.300 ,поворот головы в сторону педалей,69.997,look_around,20
00:01:41.990 ,подход к стене с педалями,75.387,approach_wallwithlever,11
00:01:47.380 ,нос вверх,76.667,look_around,20
00:01:48.660 ,передвижение по клетке,79.417,walk,19
00:01:51.410 ,стойка с опорой,83.067,rearing_sup,17
00:01:55.060 ,стойка с опорой,94.13,rearing_sup,17
00:02:06.123 ,подход к кормушке,96.277,approach_feeder,12
00:02:08.270 ,поиск еды вне кормушки,100.657,look_down,21
00:02:12.650 ,ест,151.197,feeder,9
00:03:03.190 ,поиск еды в кормушке,157.857,around_feeder,13
00:03:09.850 ,ест,163.427,feeder,9
00:03:15.420 ,поворот головы в сторону педалей,165.687,look_around,20
00:03:17.680 ,поиск еды в кормушке,169.437,around_feeder,13
00:03:21.430 ,поиск еды вне кормушки,172.707,look_down,21
00:03:24.700 ,передвижение по клетке,172.707,walk,19
00:03:24.700 ,поиск еды вне кормушки,184.14,look_down,21
00:03:36.133 ,нос вверх,185.247,look_around,20
00:03:37.240 ,передвижение по клетке,189.207,walk,19
00:03:41.200 ,поворот головы в сторону педалей,190.577,look_around,20
00:03:42.570 ,поиск еды вне кормушки,191.947,look_down,21
00:03:43.940 ,взаимодействие с правой педалью,196.207,around_right,4
00:03:48.200 ,подход к кормушке,199.357,approach_feeder,12
00:03:51.350 ,стойка,200.597,rearing_nosup,18
00:03:52.590 ,стойка с опорой,203.227,rearing_sup,17
00:03:55.220 ,подход к кормушке,204.827,approach_feeder,12
00:03:56.820 ,ест,208.057,feeder,9
00:04:00.050 ,поиск еды в кормушке,223.407,around_feeder,13
00:04:15.400 ,стойка с опорой,231.017,rearing_sup,17
00:04:23.010 ,подход к стене с педалями,231.907,approach_wallwithlever,11
00:04:23.900 ,взаимодействие с педалью,233.517,around_wallwithlever,14
00:04:25.510 ,взаимодействие с педалью,235.567,around_wallwithlever,14
00:04:27.560 ,нос вверх,236.567,look_around,20
00:04:28.560 ,поиск еды вне кормушки,247.877,look_down,21
00:04:39.870 ,ест,256.517,feeder,9
00:04:48.510 ,поиск еды в кормушке,263.937,around_feeder,13
00:04:55.930 ,поворот головы в сторону педалей,267.747,look_around,20
00:04:59.740 ,подход к стене с педалями,269.107,approach_wallwithlever,11
00:05:01.100 ,нос вверх,275.077,look_around,20
00:05:07.070 ,нос вверх,275.527,look_around,20
00:05:07.520 ,передвижение по клетке,284.057,walk,19
00:05:16.050 ,нос вверх,287.747,look_around,20
00:05:19.740 ,нос в кормушку,288.247,feeder,9
00:05:20.240 ,стойка с опорой,293.837,rearing_sup,17
00:05:25.830 ,поворот головы в сторону педалей,295.697,look_around,20
00:05:27.690 ,стойка с опорой,300.997,rearing_sup,17
00:05:32.990 ,ест,309.297,feeder,9
00:05:41.290 ,поворот головы в сторону педалей,311.617,look_around,20
00:05:43.610 ,поиск еды вне кормушки,315.947,look_down,21
00:05:47.940 ,поиск еды в кормушке,320.537,around_feeder,13
00:05:52.530 ,поиск еды вне кормушки,320.537,look_down,21
00:05:52.530 ,подход к стене с педалями,326.447,approach_wallwithlever,11
00:05:58.440 ,взаимодействие с правой педалью,330.637,around_right,4
00:06:02.630 ,нос вверх,331.697,look_around,20
00:06:03.690 ,передвижение по клетке,345.687,walk,19
00:06:17.680 ,нос вверх,346.717,look_around,20
00:06:18.710 ,ест,361.987,feeder,9
00:06:33.980 ,поиск еды в кормушке,376.717,around_feeder,13
00:06:48.710 ,поиск еды вне кормушки,379.897,look_down,21
00:06:51.890 ,поворот головы в сторону педалей,381.117,look_around,20
00:06:53.110 ,нос вверх,381.897,look_around,20
00:06:53.890 ,передвижение по клетке,385.477,walk,19
00:06:57.470 ,умывание,402.857,grooming,5
00:07:14.850 ,подход к кормушке,405.847,approach_feeder,12
00:07:17.840 ,ест,418.887,feeder,9
00:07:30.880 ,поиск еды вне кормушки,420.307,look_down,21
00:07:32.300 ,поиск еды вне кормушки,421.687,look_down,21
00:07:33.680 ,нос вверх,423.497,look_around,20
00:07:35.490 ,ест,437.737,feeder,9
00:07:49.730 ,передвижение по клетке,456.657,walk,19
00:08:08.650 ,нос вверх,459.237,look_around,20
00:08:11.230 ,взаимодействие с левой педалью,465.247,around_left,3
00:08:17.240 ,нос вверх,481.807,look_around,20
00:08:33.800 ,взаимодействие с правой педалью,487.697,around_right,4
00:08:39.690 ,нос вверх,488.597,look_around,20
00:08:40.590 ,взаимодействие с правой педалью,490.237,around_right,4
00:08:42.230 ,передвижение по клетке,498.707,walk,19
00:08:50.700 ,ест,520.387,feeder,9
00:09:12.380 ,поиск еды вне кормушки,540.997,look_down,21
00:09:32.990 ,ест,551.597,feeder,9
00:09:43.590 ,стойка с опорой,558.707,rearing_sup,17
00:09:50.700 ,нос вверх,560.207,look_around,20
00:09:52.200 ,поиск еды в кормушке,572.477,around_feeder,13
00:10:04.470 ,нос вверх,573.387,look_around,20
00:10:05.380 ,поворот головы в сторону педалей,574.157,look_around,20
00:10:06.150 ,поиск еды в кормушке,580.737,around_feeder,13
00:10:12.730 ,передвижение по клетке,580.737,walk,19
00:10:12.730 ,нос вверх,588.757,look_around,20
00:10:20.750 ,взаимодействие с педалью,593.007,around_wallwithlever,14
00:10:25.000 ,стойка без опоры,602.547,rearing_nosup,18
00:10:34.540 ,поиск еды вне кормушки,607.747,look_down,21
00:10:39.740 ,стойка без опоры,612.297,rearing_nosup,18
00:10:44.290 ,нос вверх,620.437,look_around,20
00:10:52.430 ,нос вверх,622.357,look_around,20
00:10:54.350 ,нос вверх,624.297,look_around,20
00:10:56.290 ,подход к стене с педалями,624.297,approach_wallwithlever,11
00:10:56.290 ,поворот головы в сторону педалей,631.447,look_around,20
00:11:03.440 ,нос вверх,632.847,look_around,20
00:11:04.840 ,нос вверх,636.217,look_around,20
00:11:08.210 ,нахождение у стенки с педалями(неподвижное),653.717,sit,6
00:11:25.710 ,ест,653.717,feeder,9
00:11:25.710 ,поиск еды вне кормушки,661.387,look_down,21
00:11:33.380 ,ест,676.237,feeder,9
00:11:48.230 ,поиск еды вне кормушки,707.767,look_down,21
00:12:19.760 ,передвижение по клетке,707.767,walk,19
00:12:19.760 ,нос вверх,712.647,look_around,20
00:12:24.640 ,стойка без опоры,715.847,rearing_nosup,18
00:12:27.840 ,стойка с опорой,723.397,rearing_sup,17
00:12:35.390 ,нос вверх,726.447,look_around,20
00:12:38.440 ,стойка без опоры,736.562,rearing_nosup,18
00:12:48.555 ,нос вверх,738.867,look_around,20
00:12:50.860 ,стойка с опорой,743.057,rearing_sup,17
00:12:55.050 ,ест,779.257,feeder,9
00:13:31.250 ,нос вверх,797.999,look_around,20
00:13:49.992 ,сидит в углу у кормушки,803.887,around_feeder,13
00:13:55.880 ,передвижение по клетке,817.027,walk,19
00:14:09.020 ,нос вверх,820.157,look_around,20
00:14:12.150 ,взаимодействие с педалью,823.957,around_wallwithlever,14
00:14:15.950 ,передвижение по клетке,827.717,walk,19
00:14:19.710 ,умывание,835.067,grooming,5
00:14:27.060 ,нос вверх,843.947,look_around,20
00:14:35.940 ,нос вверх,850.147,look_around,20
